archivo;producto_codigo;notas
IMG-20260612-WA0013(1).jpg;POR-009-OG;codigo 70020 confirmado
IMG-20260612-WA0012(1).jpg;POR-010-OG;codigo 70900 confirmado
IMG-20260612-WA0011(1).jpg;POR-011-OG;codigo 70820 confirmado
IMG-20260612-WA0010(1).jpg;POR-012-OG;codigo 70860 confirmado
IMG-20260612-WA0014(1).jpg;POR-013-OG;codigo 70340 confirmado
IMG-20260612-WA0064(1).jpg;PIS-021-OG;codigo 34020 confirmado
IMG-20260612-WA0073(1).jpg;PIS-021-OG;codigo 34020 confirmado (duplicado)
IMG-20260612-WA0064(2).jpg;PIS-019-OG;codigo 34090 confirmado
IMG-20260612-WA0074(2).jpg;PIS-019-OG;codigo 34090 confirmado (duplicado)
IMG-20260612-WA0074(3).jpg;PIS-019-OG;codigo 34090 confirmado (duplicado)
IMG-20260612-WA0065(1).jpg;PIS-018-OG;codigo 34120 confirmado
IMG-20260612-WA0075(2).jpg;PIS-018-OG;codigo 34120 confirmado (duplicado)
IMG-20260612-WA0072(1).jpg;PIS-020-OG;codigo 34030 (lectura de primera pasada, no re-verificada)
IMG-20260612-WA0095.jpg;PIS-006-OG;codigo 35700 (lectura de primera pasada, no re-verificada)
IMG-20260612-WA0096.jpg;PIS-005-OG;codigo PD45360 confirmado
IMG-20260612-WA0097.jpg;PIS-004-OG;codigo 45070 confirmado
IMG-20260612-WA0079.jpg;PIS-003-OG;codigo 45430 confirmado
IMG-20260612-WA0081.jpg;PIS-002-OG;codigo 45420 confirmado
IMG-20260612-WA0082.jpg;PIS-001-OG;codigo 45410 confirmado
IMG-20260618-WA0165.jpg;PIS-001-OG;codigo 45410 confirmado (duplicado)
IMG-20260618-WA0148.jpg;PIS-007-OG;codigo PD45020 confirmado
IMG-20260618-WA0149.jpg;PIS-009-OG;codigo 57048 confirmado
IMG-20260618-WA0150.jpg;PIS-008-OG;codigo 57049 confirmado
IMG-20260618-WA0151.jpg;PIS-011-OG;codigo HD170118 confirmado
IMG-20260618-WA0152.jpg;PIS-010-OG;codigo 170000 confirmado
IMG-20260618-WA0153.jpg;CER-002-OG;codigo 40055 confirmado
IMG-20260618-WA0154.jpg;CER-001-OG;codigo 240009 confirmado
