uid_variante;codigo_producto;nombre_producto;sku_notebook;cantidad
fdd45714-9185-43c6-8cd6-1244d730b04b;ACC-009-OG;KIT BAÑO 5 PIEZAS METAL CROMADO IMPERIAL;ACC-009-OG;10
7cc9ebeb-e208-4ea0-af41-90882ffd64d5;ACC-019-OG;MONOCOMANDO MYKONOS LAVATORIO ALTO - 10726;ACC-019-OG;2
4f355763-0b0d-4d3a-9448-c519af4c90df;ACC-024-OG;IBIZA PREMIUM DUCHA EMBUTIDA SIN LAVAPIE - 10671;ACC-024-OG;2
d0a145b5-3715-47d1-a61f-30fb3c1f5bf7;ACC-025-OG;IBIZA PREMIUM DUCHA PARED EXTERNA SIN LAVAPIE - 10673;ACC-025-OG;2
d36a9e91-aa6f-404c-9167-fa592c0b0ed9;ACC-032-OG;DUCHA HIGIENICA FLEXIBLE 15721 - 180CM C/ LLAVE DE PASO;ACC-032-OG;2
71dd1083-3a7d-49df-b990-21a63692a18f;ACC-033-OG;DUCHA HIGIENICA FLEXIBLE 15720 - 180CM;ACC-033-OG;2
bca95de4-2564-42c6-8256-4fd111c27818;ACC-045-OG;COIHUE COCINA MESADA Z412.01/N1-CR - 30091;ACC-045-OG;1
2bb5a3a3-20b9-4ae5-aa26-3213c397dab2;BAC-009-OG;LAVABO ATENAS E508 SANILUX (325x325x140);BAC-009-OG;3
32a3d571-b425-4135-9a9b-a89a991e45b8;BAC-013-OG;INCEPA BACHA DE APOYO 425 PLATINUM P3 BEIGE 1450990657108;BAC-013-OG-BEIGE;1
da352a5c-2e65-4d4b-8752-da308a817a06;BAC-021-OG;INCEPA BACHA DE APOYO 35CM R1 RED BLANCO 70017100;BAC-021-OG-BLANCO;1
14c772aa-3dca-43f2-8646-e00fe99bb4c4;BAC-026-OG;ROCA BACHA APOYO 375 BUY CAFE A327A15660;BAC-026-OG-CAFE;1
21d8cce9-8b87-4e58-8711-2698301a13b1;COC-031-OG;10717 NATAL COCINA MESADA FLEXIBLE MONOCOMANDO;COC-031-OG;2
0cc2b19d-fa4e-4c1c-b778-9ae32306badf;GRI-001-OG;DOCOL CANILLA MONO LIFT MESA 795906-7959006;GRI-001-OG;1
cbf3e38f-cf70-4662-baed-55f98db8dd35;GRI-002-OG;DOCOL CANILLA MISTUR MONO MESA LIFT 79106-791006;GRI-002-OG;1
69c242a6-5dc7-411b-847d-1658a6c168df;GRI-003-OG;DOCOL MEZC MONO LAVATORIO ALTO ORO 8497072;GRI-003-OG-EDGE-ORO-CEP;1
3311636f-8772-4f9d-a6c3-4f925119b85c;GRI-004-OG;DOCOL MEZC MONO LAVATORIO EDGE ORO 8496072;GRI-004-OG-ORO-CEPILLAD;1
8d88ba9d-7ca5-4e28-8770-28dc11aa7f10;GRI-005-OG;DOCOL MEZC MONO LAVATORIO ALTO EDGE COBRE 849769;GRI-005-OG-COBRE-CEPILL;1
6d583da9-691e-44a7-96bc-e1375431fb6b;GRI-014-OG;GRIFERIA FRIA ALTA DORADO MATE 58DS;GRI-014-OG-DORADO-MATE;2
f068ba1c-5941-482a-9110-174ab5f91c28;INO-003-OG;INODORO COIMBRA NEGRO 8208 SANILUX (685x350x685);INO-003-OG;2
95c3fb05-d059-489e-8e74-a96b54852cd1;INO-004-OG;ROCA GAP KIT INODORO BAJA+TAPA CAFE C323723011;INO-004-OG-CAFE;1
424b2828-8eb2-47c5-8907-8039d30ce2ff;PIS-018-OG;Piso 34X34 PPF 34120 Adelaide;PIS-018-OG-34x34;100.8
5a2ca251-d436-4cf6-89c3-e5ec8ae9f21b;PIS-019-OG;Piso 34X34 PPF 34090 Malasia;PIS-019-OG-34x34;100.8
7c5c56d4-6950-4dde-b6a0-7421b126b40d;PIS-043-OG;REV RT38028 ALAMEDA CARAMELO 38x76;PIS-043-OG-38x76-CARAMELO;96.96
5443ecec-58a7-46b6-96be-0a544dca4bc1;PIS-077-OG;PISO 60x60 RT 60/1014 ESNA;PIS-077-OG-60x60;80.64
138acb68-9bcd-459c-bfb8-62e68495cd73;PIS-080-OG;REV 62x58 C54002 CONNECT MAGMA SAND;PIS-080-OG-34x58;109.44
1bf6e3bb-752a-42eb-8697-194af4997522;POR-016-OG;PORCELANATO ESM 64260092A PP PRIME BEGE;POR-016-OG-61x61;160.56
c7fa3ecd-4678-4ea6-b788-9a5d70f3a6ef;SAN-001-OG;Inodoro Aveiro c/cx acoplada 3005 SANILUX (670x360x750);SAN-001-OG-BLANCO;3
d599e00f-128d-4395-aef2-f27a14676051;SAN-011-OG;BOT. PLASTICO ASTRA LB/S 29 x 39 - 2033;SAN-011-OG;1
4020fe85-319b-4a89-9b4e-5509a9b8c707;SAN-019-OG;BOT. PLASTICO ASTRA A32 32.37 x 10;SAN-019-OG;1
