pagina;proveedor;factura;fecha;cod_proveedor;descripcion_factura;categoria_sugerida;marca;nombre_producto;color;largo_cm;ancho_cm;unidad_venta;m2_por_caja;piezas_por_caja;cantidad_factura;unidad_cantidad;cajas;costo_unitario_gs;total_linea_gs;observaciones
1;SAN CARLOS S.R.L. (RUC 80054999-6);001-001-0183189;2026-08-24;051076;CEJATEL 53X53 PORTLAND BG A 2.81M2XCAJA OASIS;ceramica;OASIS;Cejatel Portland BG 53x53;Portland BG;53;53;m2;2.8100;10;134.88;m2;48;21800;2940384;Precio por m2. Verificar si la marca de linea es CEJATEL o CERATEL (pag. 1)
1;SAN CARLOS S.R.L. (RUC 80054999-6);001-001-0183189;2026-08-24;043554;FORTE 50X50 PORTLAND MATE GRAY PLUS HD A 2.33M2XCAJA OASIS;ceramica;OASIS;Forte Portland Mate Gray Plus HD 50x50;Gray Plus;50;50;m2;2.3300;9;149.12;m2;64;22200;3310464;Precio por m2
2;SAN CARLOS S.R.L. (RUC 80054999-6);001-001-0182458;2026-08-21;008092;CELITE SAVEIRO CAJA ACOPLADA GRIS OSCURO 1555700032300;inodoro;CELITE;Celite Saveiro caja acoplada;Gris Oscuro;;;pieza;;;2;un;;193697;387394;Cod. fabrica 1555700032300
2;SAN CARLOS S.R.L. (RUC 80054999-6);001-001-0182458;2026-08-21;018277;CELITE SAVEIRO INODORO BAJA GRIS OSCURO 1023550030300;inodoro;CELITE;Celite Saveiro inodoro cisterna baja;Gris Oscuro;;;pieza;;;2;un;;217124;434248;Cod. fabrica 1023550030300. tipo_cisterna=baja
2;SAN CARLOS S.R.L. (RUC 80054999-6);001-001-0182458;2026-08-21;016407;CELITE SAVEIRO INODORO ALTA GRIS OSCURO 1023030030300;inodoro;CELITE;Celite Saveiro inodoro cisterna alta;Gris Oscuro;;;pieza;;;1;un;;198346;198346;Cod. fabrica 1023030030300. tipo_cisterna=alta
3;SAN CARLOS S.R.L. (RUC 80054999-6);001-001-0183188;2026-08-24;049180;ROCA BACHA APOYO 375 RUY OHTAKE CAFE A327A15660;bacha;ROCA;Roca bacha de apoyo 375 Ruy Ohtake;Cafe;;;pieza;;;1;un;;796508;796508;Cod. fabrica A327A15660
4;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0049329;2026-08-22;10833;Bello Oasi Duna Ripa 45x120 mate rectificado (1.61 M2 x 3 U por caja);porcelanato;BELLO;Bello Oasi Duna Ripa 45x120 mate rectificado;Oasi Duna Ripa;120;45;m2;1.6100;3;38.64;m2;24;145000;5602800;Acabado mate rectificado. Precio por m2
4;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0049329;2026-08-22;10486;Bello Apuano Oro Graffi 45x120 mate rectificado (1.61 M2 x 3 U por caja);porcelanato;BELLO;Bello Apuano Oro Graffi 45x120 mate rectificado;Apuano Oro Graffi;120;45;m2;1.6100;3;38.64;m2;24;145000;5602800;Acabado mate rectificado. Precio por m2
4;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0049329;2026-08-22;11278;Bello Oasi Roccia Ripa 45x120 mate rectificado (1.61 M2 x 3 U por caja);porcelanato;BELLO;Bello Oasi Roccia Ripa 45x120 mate rectificado;Oasi Roccia Ripa;120;45;m2;1.6100;3;20.93;m2;13;145000;3034850;Acabado mate rectificado. Precio por m2
4;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0049329;2026-08-22;10615;Bello Sage Graffi 45x120 mate rectificado (1.61 M2 x 3 U por caja);porcelanato;BELLO;Bello Sage Graffi 45x120 mate rectificado;Sage Graffi;120;45;m2;1.6100;3;37.03;m2;23;145000;5369350;Acabado mate rectificado. Precio por m2
8;SiderAgro S.A. (RUC 80026064-3);001-001-0055005;2026-05-28;20326;KIT INO. CIST. ALTA DONA BEJA AZUL+GAB. NIX SERENO 50CM+KIT INST. TAPA(BL) MULTI + CISTERNA;inodoro;SIDER;Kit inodoro cisterna alta Dona Beja + gabinete Nix Sereno 50cm;Azul;;;juego;;;1;un;;594000;594000;"MANUSCRITO EN LA FACTURA: ""NO (se vendio)"" - confirmar si entra al stock"
8;SiderAgro S.A. (RUC 80026064-3);001-001-0055005;2026-05-28;7372;KIT INO. CIST. BAJA ALAMO BLANCO + GAB. SIDER BLANCO + KIT INST. THEMA;inodoro;SIDER;Kit inodoro cisterna baja Alamo + gabinete Sider;Blanco;;;juego;;;4;un;;647000;2588000;MANUSCRITO: cantidad corregida a 4 (aplicada)
8;SiderAgro S.A. (RUC 80026064-3);001-001-0055005;2026-05-28;20329;KIT INO. CIST. BAJA D.BEJA GRIS CLARO + GAB. SIDER OPERA + KIT INST. ASTRA PARIS;inodoro;SIDER;Kit inodoro cisterna baja Dona Beja + gabinete Sider Opera;Gris Claro;;;juego;;;3;un;;799000;2397000;
8;SiderAgro S.A. (RUC 80026064-3);001-001-0055005;2026-05-28;20420;INODORO CISTERNA BAJA ARAXA BLANCO SANTA CLARA;inodoro;SANTA CLARA;Inodoro cisterna baja Araxa;Blanco;;;pieza;;;3;un;;380000;1140000;tipo_cisterna=baja
8;SiderAgro S.A. (RUC 80026064-3);001-001-0055005;2026-05-28;19964;CONJUNTO P/ BANO MOD. KS 65CM BLANCO/VOLAKAS C/PIE (01.03.001);accesorio_bano;SIDER;Conjunto para bano KS 65cm con pie;Blanco/Volakas;;65;juego;;;1;un;;399365;399365;
8;SiderAgro S.A. (RUC 80026064-3);001-001-0055005;2026-05-28;30959;CONJUNTO P/ BANO MOD. LYON 55CM SOLANUM/PROVENCE C/PIE (01.08.148);accesorio_bano;SIDER;Conjunto para bano Lyon 55cm con pie;Solanum/Provence;;55;juego;;;1;un;;471450;471450;
8;SiderAgro S.A. (RUC 80026064-3);001-001-0055005;2026-05-28;19963;CONJUNTO P/ BANO MOD. KS 65CM BLANCO/NERO C/PIE (01.03.001);accesorio_bano;SIDER;Conjunto para bano KS 65cm con pie;Blanco/Nero;;65;juego;;;1;un;;399460;399460;
8;SiderAgro S.A. (RUC 80026064-3);001-001-0055005;2026-05-28;30962;CONJUNTO P/ BANO MOD. NIX 50CM C/PIE BLANCO/SOLANUM;accesorio_bano;SIDER;Conjunto para bano Nix 50cm con pie;Blanco/Solanum;;50;juego;;;1;un;;376950;376950;
